IDs,DIOs,DISs,DAOs,Precv,Pforw,Pdrop,Psent,Network,OF,Attack
9,65,45,55,1992,1879,8,2059.0,Static,OF0,0
19,71,47,29,1055,1017,3,1208.0,Static,OF0,0
20,230,34,121,223,219,9,250.0,Mobile,OF0,0
21,84,47,437,1535,1435,6,1641.0,Mobile,MRHOF,0
1,51,47,491,1395,1304,5,1542.0,Static,MRHOF,0
2,457,37,211,1647,1564,3,1740.0,Mobile,OF0,0
3,397,11,269,686,663,9,723.0,Static,OF0,0
4,593,20,13,841,838,7,936.0,Static,OF0,0
5,65,39,95,117,109,6,,Mobile,OF0,0
6,643,3,128,900,830,9,1007.0,Static,MRHOF,0
7,450,14,16,188,183,3,364.0,Mobile,OF0,0
8,670,48,171,798,770,0,815.0,Mobile,OF0,0
9,509,15,345,348,346,2,513.0,Mobile,MRHOF,0
10,487,20,270,1728,1596,6,1767.0,Static,OF0,0
11,423,37,31,654,592,3,751.0,Mobile,OF0,0
12,570,38,220,457,440,5,555.0,Mobile,OF0,0
13,577,41,20,639,630,2,655.0,Static,OF0,0
14,539,20,232,1739,1734,6,1908.0,Mobile,MRHOF,0
15,607,17,74,382,379,6,468.0,Static,MRHOF,0
16,626,32,445,1919,1838,6,2100.0,Mobile,MRHOF,0
5,363,44,173,113,105,8,114.0,Mobile,OF0,0
18,382,35,46,946,912,3,1092.0,Mobile,MRHOF,0
7,592,30,169,741,731,8,897.0,Static,OF0,0
8,727,29,329,1145,1058,7,1191.0,Static,MRHOF,0
21,185,13,343,1425,1362,6,1485.0,Mobile,MRHOF,0
10,443,31,492,1120,1101,2,1149.0,Mobile,OF0,0
11,196,26,34,1711,1640,8,1767.0,Mobile,OF0,0
12,410,45,233,322,315,6,419.0,Mobile,MRHOF,0
4,383,24,42,1986,1861,6,2077.0,Mobile,MRHOF,0
5,168,22,52,831,777,2,883.0,Mobile,OF0,0
3,91,11,246,1004,970,7,1104.0,Static,MRHOF,0
4,270,26,50,649,647,4,835.0,Static,OF0,0
5,308,45,321,1830,1747,4,,Static,MRHOF,0
9,74,1,294,1175,1100,7,1234.0,Mobile,OF0,0
10,758,20,340,101,97,9,109.0,Static,OF0,0
11,107,44,42,237,225,8,284.0,Mobile,OF0,0
12,438,6,201,291,281,1,361.0,Mobile,MRHOF,0
10,333,20,221,205,200,1,399.0,Static,MRHOF,0
11,586,2,486,946,880,4,985.0,Mobile,MRHOF,0
12,214,27,196,500,463,8,575.0,Static,OF0,0
1,791,3,293,908,846,7,1065.0,Static,MRHOF,0
2,488,43,316,1965,1934,3,2009.0,Mobile,OF0,0
3,626,25,409,812,790,7,941.0,Mobile,MRHOF,0
4,203,49,338,728,724,8,797.0,Mobile,OF0,0
20,586,15,217,1377,1277,8,1575.0,Static,OF0,0
21,459,23,287,1776,1764,0,,Mobile,OF0,0
1,63,14,395,424,388,3,478.0,Static,OF0,0
2,547,16,497,1701,1679,3,1848.0,Static,MRHOF,0
3,684,39,236,1228,1195,7,1281.0,Mobile,OF0,0
10,392,29,296,460,429,1,571.0,Mobile,MRHOF,0
11,627,4,491,1157,1157,6,1290.0,Static,MRHOF,0
6,68,28,34,470,428,3,518.0,Mobile,OF0,0
1,299,41,336,673,633,4,854.0,Static,MRHOF,0
2,530,12,210,343,339,0,529.0,Static,OF0,0
3,545,48,301,286,285,2,,Mobile,MRHOF,0
4,545,22,67,491,491,3,689.0,Static,MRHOF,0
11,261,46,199,1086,1037,6,1248.0,Static,OF0,0
6,217,31,196,436,427,6,451.0,Mobile,OF0,0
13,159,41,305,1079,1074,4,1095.0,Static,MRHOF,0
14,149,26,471,1369,1289,2,1388.0,Static,OF0,0
9,558,4,273,391,357,5,453.0,Static,MRHOF,0
10,430,41,309,1466,1411,8,1607.0,Mobile,OF0,0
11,739,45,94,607,555,5,782.0,Mobile,OF0,0
12,508,29,388,437,435,7,511.0,Mobile,MRHOF,0
1,625,35,11,1042,953,6,1153.0,Static,MRHOF,0
2,573,19,136,949,921,2,1035.0,Static,OF0,0
3,790,4,56,1049,1022,7,1232.0,Mobile,OF0,0
1,207,40,258,1280,1240,4,1406.0,Mobile,MRHOF,0
2,434,8,111,1869,1836,3,1951.0,Mobile,MRHOF,0
3,623,39,32,1259,1235,7,1412.0,Static,MRHOF,0
7,348,39,252,172,159,4,349.0,Static,MRHOF,0
8,781,45,164,939,861,5,974.0,Static,MRHOF,0
6,120,45,91,1002,938,4,1025.0,Mobile,MRHOF,0
7,335,1,415,540,521,4,622.0,Static,MRHOF,0
8,268,37,442,1341,1275,1,1394.0,Mobile,OF0,0
12,202,32,16,470,426,0,556.0,Static,MRHOF,0
10,453,13,87,1550,1467,2,1655.0,Static,OF0,0
2,270,23,179,552,531,8,647.0,Static,OF0,0
3,632,30,298,1360,1327,6,1360.0,Mobile,MRHOF,0
4,291,20,209,1845,1676,7,1916.0,Static,MRHOF,0
5,348,10,7,1618,1600,0,1672.0,Static,MRHOF,0
15,449,30,496,1727,1572,8,1777.0,Static,OF0,0
16,715,6,421,1574,1441,1,1653.0,Static,OF0,0
17,319,17,376,1968,1956,8,2101.0,Static,OF0,0
9,358,46,333,1767,1734,1,1957.0,Mobile,MRHOF,0
19,706,30,170,1728,1722,8,1901.0,Mobile,OF0,0
20,677,17,415,124,122,0,308.0,Mobile,OF0,0
12,715,14,377,915,831,8,965.0,Mobile,MRHOF,0
1,488,5,475,1835,1682,5,1994.0,Mobile,MRHOF,0
2,664,40,235,1312,1226,8,1420.0,Mobile,OF0,0
3,754,7,268,1969,1794,0,2066.0,Mobile,MRHOF,0
4,148,9,325,544,519,5,582.0,Static,OF0,0
5,180,24,14,537,532,2,648.0,Mobile,MRHOF,0
6,520,42,254,1293,1175,2,,Static,OF0,0
7,250,13,360,861,809,4,,Static,OF0,0
8,316,29,172,1187,1144,5,1291.0,Mobile,OF0,0
9,110,26,11,565,557,2,,Mobile,OF0,0
10,485,39,30,753,690,6,849.0,Mobile,OF0,0
11,563,35,415,903,849,1,989.0,Mobile,MRHOF,0
12,73,40,411,673,649,6,710.0,Static,OF0,0
13,682,33,172,1539,1437,0,1583.0,Static,OF0,0
14,119,11,246,428,399,5,613.0,Static,MRHOF,0
3,402,26,447,1004,918,2,1147.0,Static,OF0,0
16,339,14,278,1268,1256,9,1294.0,Static,MRHOF,0
17,116,14,266,1675,1545,9,1675.0,Mobile,OF0,0
18,193,30,327,401,392,0,502.0,Static,OF0,0
7,508,11,269,1098,1040,9,1269.0,Mobile,OF0,0
8,572,47,265,1952,1842,1,2069.0,Static,MRHOF,0
21,301,12,174,208,207,3,287.0,Static,MRHOF,0
1,92,13,101,1748,1740,4,1829.0,Mobile,MRHOF,0
2,604,2,387,720,714,5,803.0,Mobile,OF0,0
12,69,35,352,854,796,4,1026.0,Mobile,OF0,0
4,719,29,35,1108,1067,6,,Mobile,OF0,0
5,191,6,143,908,857,4,1015.0,Static,MRHOF,0
3,315,43,238,349,319,7,427.0,Mobile,MRHOF,0
7,783,16,119,1043,991,0,1218.0,Mobile,OF0,0
5,229,17,54,790,751,8,980.0,Static,MRHOF,0
6,343,9,36,616,599,5,725.0,Mobile,MRHOF,0
10,533,27,494,154,140,8,170.0,Mobile,OF0,0
8,495,21,103,1516,1485,2,1676.0,Static,MRHOF,0
9,152,34,352,1283,1264,2,1350.0,Mobile,MRHOF,0
13,142,17,191,633,632,9,805.0,Static,MRHOF,0
11,581,5,408,1669,1530,1,1674.0,Mobile,OF0,0
12,514,12,258,123,116,3,242.0,Mobile,MRHOF,0
16,785,1,2,932,918,1,1079.0,Static,OF0,0
17,749,37,148,205,199,6,325.0,Static,MRHOF,0
3,331,22,124,1808,1645,2,1889.0,Mobile,MRHOF,0
19,444,5,185,565,541,9,638.0,Static,OF0,0
20,690,16,281,148,139,5,250.0,Mobile,OF0,0
6,601,5,55,978,907,4,1046.0,Static,MRHOF,0
7,455,21,490,882,818,6,1032.0,Static,OF0,0
2,491,26,233,751,750,1,845.0,Static,OF0,0
3,257,31,472,1738,1731,7,1835.0,Static,OF0,0
10,746,29,499,331,313,7,410.0,Static,OF0,0
11,772,19,400,187,178,4,336.0,Mobile,OF0,0
12,735,28,179,1060,1022,9,1205.0,Static,MRHOF,0
1,643,48,454,440,406,8,476.0,Mobile,OF0,0
2,449,15,396,586,584,7,736.0,Mobile,MRHOF,0
3,721,33,59,1875,1718,1,2020.0,Mobile,MRHOF,0
4,335,18,4,1960,1825,8,2119.0,Mobile,MRHOF,0
11,163,22,19,1010,1004,1,1114.0,Static,OF0,0
6,548,20,82,1955,1838,5,2092.0,Static,OF0,0
13,714,16,57,412,390,0,526.0,Static,MRHOF,0
14,279,37,5,572,560,0,604.0,Mobile,MRHOF,0
9,347,38,392,1141,1127,3,1174.0,Mobile,MRHOF,0
16,552,23,381,887,832,4,1016.0,Static,MRHOF,0
17,482,27,497,1235,1226,7,,Mobile,MRHOF,0
12,353,40,446,1839,1831,8,2017.0,Static,OF0,0
1,625,30,325,419,395,9,574.0,Mobile,OF0,0
20,535,26,401,1191,1084,8,1205.0,Static,MRHOF,0
3,799,48,462,151,143,2,308.0,Mobile,MRHOF,0
1,356,35,120,1725,1696,2,1863.0,Static,OF0,0
2,481,28,322,728,666,9,907.0,Mobile,MRHOF,0
6,388,29,318,210,193,6,379.0,Mobile,MRHOF,0
7,354,5,128,934,911,3,977.0,Static,OF0,0
5,265,31,403,1901,1891,1,2056.0,Mobile,MRHOF,0
9,740,12,49,1101,1095,3,1181.0,Mobile,MRHOF,0
10,132,26,438,1838,1808,0,1937.0,Static,MRHOF,0
8,96,49,145,1126,1109,9,1196.0,Static,MRHOF,0
9,537,43,66,188,182,9,359.0,Static,OF0,0
1,582,37,27,848,817,8,1016.0,Static,MRHOF,0
11,89,41,69,891,874,9,1074.0,Static,MRHOF,0
12,547,35,26,444,442,4,564.0,Static,OF0,0
4,134,9,49,612,609,3,701.0,Mobile,OF0,0
5,593,41,454,1698,1591,6,1808.0,Static,MRHOF,0
15,353,9,143,1538,1507,9,1690.0,Mobile,MRHOF,0
7,478,24,258,1953,1875,2,2135.0,Mobile,MRHOF,0
17,506,18,135,734,720,3,803.0,Mobile,MRHOF,0
18,758,27,329,398,385,1,523.0,Mobile,MRHOF,0
10,715,27,450,422,388,9,609.0,Static,MRHOF,0
20,139,3,416,1933,1921,8,1964.0,Mobile,OF0,0
21,443,25,189,1058,983,2,1188.0,Mobile,MRHOF,0
1,203,13,390,1401,1318,6,1576.0,Mobile,MRHOF,0
2,388,39,40,1799,1794,6,1936.0,Static,MRHOF,0
3,274,6,260,1370,1292,8,1412.0,Mobile,OF0,0
4,51,17,343,1135,1092,5,,Static,OF0,0
5,223,39,328,945,893,0,969.0,Mobile,OF0,0
6,270,18,222,1334,1254,5,1409.0,Static,MRHOF,0
7,210,29,386,1320,1262,3,1415.0,Static,MRHOF,0
8,627,25,275,810,736,4,966.0,Mobile,OF0,0
9,731,2,354,1917,1767,4,,Static,OF0,0
10,179,43,405,1156,1133,4,1304.0,Static,OF0,0
11,646,47,312,104,102,1,268.0,Static,MRHOF,0
12,407,48,385,424,392,2,586.0,Mobile,MRHOF,0
1,626,38,213,628,613,0,630.0,Static,OF0,0
14,486,3,238,193,179,5,198.0,Mobile,OF0,0
15,92,6,369,503,457,5,671.0,Mobile,MRHOF,0
16,395,27,441,349,319,7,437.0,Static,OF0,0
5,179,12,388,1312,1222,7,1389.0,Static,MRHOF,0
6,129,38,468,969,929,0,1061.0,Mobile,OF0,0
19,243,8,246,1753,1745,6,1951.0,Static,MRHOF,0
20,563,40,330,1480,1393,3,1607.0,Static,OF0,0
9,371,17,300,1710,1610,6,1741.0,Static,OF0,0
1,778,11,155,1162,1137,7,1263.0,Static,OF0,0
2,596,2,277,853,832,9,855.0,Mobile,OF0,0
3,320,44,237,1290,1171,8,1479.0,Static,OF0,0
1,136,18,190,919,866,7,960.0,Mobile,OF0,0
5,190,32,338,1972,1907,1,2157.0,Mobile,OF0,0
3,505,9,212,1806,1627,7,1840.0,Mobile,OF0,0
4,377,49,391,520,477,1,600.0,Mobile,OF0,0
5,634,27,403,137,126,9,222.0,Mobile,MRHOF,0
6,754,38,180,1880,1841,8,2046.0,Static,MRHOF,0
10,131,28,174,1923,1836,5,2011.0,Mobile,OF0,0
11,489,31,113,635,601,0,,Static,OF0,0
9,245,30,235,1714,1558,3,1743.0,Mobile,MRHOF,0
13,189,3,142,1875,1866,5,1935.0,Mobile,OF0,0
14,385,14,389,269,253,6,310.0,Mobile,MRHOF,0
12,256,39,1,1703,1652,7,1841.0,Mobile,OF0,0
16,229,5,129,1768,1670,2,1870.0,Mobile,OF0,0
2,203,26,326,1923,1813,4,2019.0,Static,OF0,0
3,648,38,25,528,498,5,572.0,Static,OF0,0
19,94,45,315,1312,1261,3,1387.0,Static,OF0,0
5,640,49,229,1467,1353,3,1647.0,Mobile,OF0,0
21,568,16,471,1473,1430,0,1545.0,Static,OF0,0
1,524,10,24,1973,1903,8,2132.0,Static,OF0,0
2,528,41,302,486,463,4,501.0,Static,OF0,0
3,104,18,454,404,367,9,410.0,Mobile,MRHOF,0
10,621,6,147,1922,1807,5,2006.0,Mobile,MRHOF,0
11,204,38,299,257,257,6,312.0,Static,OF0,0
12,629,19,244,585,546,5,721.0,Static,OF0,0
7,341,18,171,1820,1778,2,1926.0,Mobile,OF0,0
2,173,4,474,457,419,7,546.0,Mobile,OF0,0
3,673,8,329,1689,1601,6,1875.0,Mobile,MRHOF,0
4,697,1,4,731,689,5,756.0,Static,OF0,0
5,459,12,72,1356,1270,9,1488.0,Static,OF0,0
6,491,10,77,135,126,7,252.0,Mobile,OF0,0
13,279,48,149,1978,1918,4,2092.0,Static,MRHOF,0
14,342,41,4,1735,1719,9,1842.0,Mobile,MRHOF,0
15,408,33,221,1779,1773,1,1790.0,Static,MRHOF,0
10,313,26,487,1710,1626,4,1735.0,Static,OF0,0
11,548,2,434,218,204,7,309.0,Static,MRHOF,0
18,444,39,17,1726,1680,9,1746.0,Mobile,MRHOF,0
19,506,45,444,221,205,7,272.0,Mobile,OF0,0
2,230,39,393,1516,1425,1,1655.0,Mobile,MRHOF,0
3,192,3,145,393,368,5,451.0,Mobile,MRHOF,0
4,367,2,447,892,852,2,1057.0,Static,MRHOF,0
2,411,10,368,638,591,9,766.0,Mobile,MRHOF,0
3,370,16,10,1703,1583,4,1717.0,Mobile,MRHOF,0
7,682,32,224,1760,1613,3,1789.0,Mobile,OF0,0
8,206,1,57,504,490,2,664.0,Mobile,OF0,0
9,642,6,267,994,916,0,1122.0,Mobile,OF0,0
7,115,26,429,1813,1754,7,1992.0,Mobile,OF0,0
8,109,30,469,1534,1452,9,1588.0,Static,MRHOF,0
12,677,3,179,873,864,5,996.0,Mobile,MRHOF,0
1,303,27,379,1372,1301,9,1568.0,Mobile,OF0,0
11,109,37,156,441,428,9,451.0,Mobile,MRHOF,0
3,214,28,371,1986,1929,4,2013.0,Static,OF0,0
4,398,15,416,538,502,3,652.0,Mobile,MRHOF,0
14,566,18,118,1897,1773,9,1943.0,Static,OF0,0
15,586,7,193,691,634,1,726.0,Static,MRHOF,0
16,716,15,84,239,221,0,423.0,Mobile,OF0,0
17,481,18,299,1303,1174,6,1461.0,Mobile,OF0,0
9,121,33,132,1363,1286,9,1487.0,Mobile,MRHOF,0
10,256,30,311,481,466,7,626.0,Static,MRHOF,0
20,85,38,71,667,629,1,863.0,Mobile,MRHOF,0
12,710,23,404,1070,965,7,1213.0,Mobile,OF0,0
1,129,5,173,1699,1659,1,1870.0,Static,MRHOF,0
2,740,4,216,1612,1536,9,1785.0,Mobile,MRHOF,0
3,255,22,367,1260,1237,6,,Static,OF0,0
4,176,14,307,1883,1800,6,1918.0,Static,MRHOF,0
5,68,41,423,157,151,6,,Mobile,MRHOF,0
6,629,2,302,1857,1707,5,1874.0,Mobile,OF0,0
7,764,41,162,197,189,7,367.0,Static,OF0,0
8,277,2,279,1361,1237,2,1517.0,Static,MRHOF,0
9,167,13,49,1913,1862,4,1943.0,Mobile,OF0,0
10,651,31,101,1353,1222,2,1449.0,Mobile,OF0,0
11,388,19,249,1405,1346,5,1531.0,Static,MRHOF,0
12,363,41,232,674,617,2,808.0,Mobile,OF0,0
13,210,12,303,1583,1531,9,1707.0,Mobile,OF0,0
14,373,40,406,1592,1499,4,1740.0,Static,OF0,0
15,574,40,149,874,851,4,923.0,Static,MRHOF,0
16,60,40,101,110,107,1,276.0,Mobile,MRHOF,0
5,408,42,284,499,497,3,686.0,Static,OF0,0
18,603,28,355,1018,943,9,1112.0,Mobile,MRHOF,0
19,491,29,274,569,546,0,613.0,Mobile,MRHOF,0
20,761,13,221,1828,1689,0,1898.0,Mobile,OF0,0
21,665,48,376,1531,1467,0,1568.0,Mobile,MRHOF,0
10,175,6,84,848,845,0,966.0,Mobile,MRHOF,0
2,289,9,158,487,468,7,513.0,Mobile,MRHOF,0
12,153,30,281,1511,1396,0,1658.0,Static,OF0,0
4,502,32,51,193,184,7,268.0,Mobile,OF0,0
5,588,22,373,528,491,2,573.0,Static,OF0,0
3,574,46,462,189,174,0,250.0,Static,OF0,0
4,288,14,126,182,165,8,342.0,Static,OF0,0
8,623,1,78,164,152,3,,Static,OF0,0
9,270,44,376,711,649,5,813.0,Mobile,OF0,0
10,573,20,342,1721,1690,6,1764.0,Static,MRHOF,0
11,120,4,179,479,443,8,611.0,Static,OF0,0
9,283,8,153,429,396,3,481.0,Static,MRHOF,0
13,545,5,249,467,441,3,495.0,Mobile,MRHOF,0
11,289,23,322,1795,1790,0,1937.0,Mobile,OF0,0
12,89,48,226,831,764,6,1005.0,Mobile,OF0,0
16,734,41,408,1685,1619,3,1770.0,Mobile,MRHOF,0
17,305,22,248,792,776,7,950.0,Mobile,MRHOF,0
3,438,2,120,1310,1199,3,1443.0,Mobile,MRHOF,0
4,318,26,469,323,296,7,446.0,Static,MRHOF,0
20,571,16,267,1610,1523,1,1752.0,Static,OF0,0
21,239,36,49,1840,1787,5,1995.0,Mobile,MRHOF,0
7,690,21,68,1508,1392,6,1592.0,Static,OF0,0
2,781,40,109,1888,1828,3,1990.0,Static,MRHOF,0
3,417,34,87,1106,1032,3,1225.0,Mobile,OF0,0
10,52,16,67,253,231,5,265.0,Mobile,MRHOF,0
5,59,25,18,754,708,0,905.0,Static,MRHOF,0
6,226,4,193,1300,1188,1,1353.0,Mobile,OF0,0
7,621,48,42,704,665,4,,Static,MRHOF,0
8,77,14,439,1743,1710,6,1754.0,Mobile,OF0,0
9,453,48,425,362,348,8,434.0,Static,MRHOF,0
10,96,22,23,1413,1351,2,1436.0,Static,OF0,0
11,288,27,441,1423,1331,0,1541.0,Mobile,OF0,0
6,216,45,493,106,101,3,189.0,Mobile,OF0,0
7,716,28,152,647,614,1,767.0,Static,MRHOF,0
8,321,2,25,1920,1823,6,2096.0,Static,MRHOF,0
15,627,32,110,311,301,2,420.0,Static,MRHOF,0
10,715,30,1,1029,989,5,1059.0,Static,OF0,0
11,176,36,295,1146,1121,1,1224.0,Static,MRHOF,0
12,497,7,190,1355,1294,9,1378.0,Mobile,MRHOF,0
1,656,19,92,1401,1297,4,1461.0,Static,MRHOF,0
20,795,11,279,575,520,6,684.0,Static,MRHOF,0
21,258,3,130,842,812,9,965.0,Static,MRHOF,0
4,149,27,103,400,368,1,420.0,Mobile,MRHOF,0
5,232,28,336,1461,1416,8,1613.0,Static,MRHOF,0
3,268,26,318,1712,1625,8,1775.0,Static,OF0,0
7,542,6,192,1852,1762,5,1996.0,Mobile,MRHOF,0
5,337,22,358,1348,1217,5,1464.0,Static,MRHOF,0
6,382,20,288,709,672,9,769.0,Static,MRHOF,0
10,573,39,275,1130,1040,7,1328.0,Mobile,MRHOF,0
11,222,12,204,202,191,0,388.0,Static,MRHOF,0
9,569,46,45,293,288,9,461.0,Static,MRHOF,0
1,288,12,168,1171,1076,5,1325.0,Static,MRHOF,0
11,703,3,125,1967,1815,0,2062.0,Static,MRHOF,0
3,227,1,489,1162,1089,8,1255.0,Mobile,OF0,0
13,158,8,207,676,662,1,681.0,Mobile,OF0,0
5,147,39,95,1595,1550,9,1625.0,Static,MRHOF,0
15,709,4,185,1072,1012,8,1198.0,Mobile,MRHOF,0
7,682,12,303,234,227,6,404.0,Static,MRHOF,0
8,431,45,40,1568,1539,1,1597.0,Mobile,MRHOF,0
18,214,7,485,863,811,8,1035.0,Mobile,MRHOF,0
10,259,47,106,764,738,6,780.0,Static,MRHOF,0
11,365,28,214,1453,1310,1,1477.0,Static,OF0,0
12,439,28,264,105,101,0,272.0,Static,OF0,0
1,275,46,446,228,214,1,313.0,Static,OF0,0
2,231,48,227,665,650,3,711.0,Static,OF0,0
3,722,40,109,1896,1724,8,,Static,MRHOF,0
4,483,27,30,1127,1062,7,1131.0,Static,OF0,0
5,385,1,203,1846,1774,6,2003.0,Mobile,MRHOF,0
6,631,38,174,799,798,4,806.0,Mobile,OF0,0
7,399,31,79,1481,1460,0,1680.0,Mobile,OF0,0
8,458,29,12,600,575,5,692.0,Mobile,MRHOF,0
9,315,48,498,1293,1204,4,1479.0,Mobile,MRHOF,0
10,181,27,310,1249,1162,4,1379.0,Static,OF0,0
11,194,3,330,1833,1727,3,1977.0,Mobile,OF0,0
12,513,35,461,1172,1122,6,1291.0,Mobile,OF0,0
1,342,1,472,1186,1131,9,1203.0,Static,OF0,0
14,682,12,183,1171,1153,9,1278.0,Static,MRHOF,0
15,489,10,228,1407,1347,8,1495.0,Mobile,MRHOF,0
16,152,24,22,392,382,0,575.0,Mobile,OF0,0
5,362,34,77,221,221,1,313.0,Mobile,MRHOF,0
6,678,49,460,1935,1809,9,2118.0,Mobile,MRHOF,0
19,290,22,301,153,139,2,261.0,Static,OF0,0
20,263,28,203,644,592,9,659.0,Static,MRHOF,0
21,666,13,86,130,127,3,188.0,Static,MRHOF,0
10,783,32,270,1097,1023,1,1287.0,Static,OF0,0
11,139,6,482,1879,1747,3,1951.0,Static,MRHOF,0
3,349,16,198,1329,1262,9,1369.0,Static,MRHOF,0
1,567,6,447,231,212,2,318.0,Static,MRHOF,0
2,609,29,415,1276,1201,8,1474.0,Mobile,OF0,0
3,216,19,402,1880,1710,5,1951.0,Mobile,OF0,0
7,699,2,35,1753,1697,1,1831.0,Mobile,MRHOF,0
8,521,2,165,569,541,4,592.0,Static,OF0,0
9,495,23,424,198,184,6,200.0,Mobile,MRHOF,0
10,268,19,304,1619,1471,7,1706.0,Static,MRHOF,0
11,256,40,418,1862,1702,7,2045.0,Static,OF0,0
9,299,20,138,1089,999,6,1230.0,Mobile,OF0,0
10,537,26,461,1148,1123,8,1207.0,Mobile,OF0,0
14,496,16,408,1790,1709,9,1967.0,Static,OF0,0
15,264,7,29,1469,1405,8,1508.0,Static,OF0,0
16,630,1,78,1351,1281,4,1449.0,Static,MRHOF,0
17,301,2,221,1824,1754,6,1900.0,Mobile,OF0,0
18,776,45,279,567,540,7,627.0,Static,OF0,0
19,576,11,395,1977,1889,2,2000.0,Static,OF0,0
20,120,11,9,1638,1620,1,1782.0,Mobile,OF0,0
6,699,4,42,1341,1284,0,1528.0,Static,OF0,0
1,449,36,98,1644,1639,0,1795.0,Mobile,MRHOF,0
8,168,19,99,102,97,8,175.0,Static,MRHOF,0
3,226,43,83,362,359,8,487.0,Mobile,OF0,0
10,750,28,205,919,907,1,1045.0,Mobile,MRHOF,0
5,448,20,7,1749,1745,1,1834.0,Mobile,OF0,0
12,283,2,229,1021,991,2,1061.0,Static,OF0,0
1,87,6,240,1296,1256,8,1473.0,Static,MRHOF,0
2,345,21,214,524,492,8,552.0,Mobile,OF0,0
3,597,29,367,258,245,3,439.0,Static,OF0,0
10,267,22,328,1988,1902,2,2084.0,Static,MRHOF,0
5,399,22,364,114,106,3,312.0,Mobile,OF0,0
6,645,47,466,1961,1833,1,,Static,MRHOF,0
13,101,29,120,1173,1083,0,1296.0,Mobile,OF0,0
8,338,1,453,470,467,5,655.0,Mobile,MRHOF,0
15,267,39,372,266,260,9,411.0,Mobile,OF0,0
10,684,25,248,1749,1654,5,1828.0,Mobile,OF0,0
11,581,11,370,1525,1451,2,1560.0,Mobile,OF0,0
12,85,30,427,1959,1766,9,1987.0,Static,OF0,0
1,736,43,393,1389,1256,9,1409.0,Mobile,OF0,0
20,694,10,495,1986,1848,5,2176.0,Static,OF0,0
3,798,49,296,1323,1296,4,1325.0,Mobile,OF0,0
4,542,18,308,1756,1647,1,1763.0,Static,MRHOF,0
5,688,9,77,818,808,7,,Mobile,OF0,0
3,616,37,416,1916,1803,6,2103.0,Static,OF0,0
7,139,11,61,1857,1847,2,2024.0,Mobile,MRHOF,0
8,532,28,341,525,475,1,547.0,Mobile,MRHOF,0
6,764,42,45,1892,1749,8,1953.0,Static,OF0,0
7,758,27,491,1321,1201,1,1373.0,Mobile,MRHOF,0
11,328,20,274,832,761,1,900.0,Mobile,OF0,0
12,657,4,222,995,933,9,1006.0,Static,MRHOF,0
1,236,23,450,1222,1184,1,1420.0,Mobile,OF0,0
2,755,39,321,1482,1437,7,1571.0,Static,OF0,0
3,521,36,17,1018,942,0,1187.0,Static,MRHOF,0
4,178,7,303,1235,1151,2,1341.0,Mobile,OF0,0
5,368,14,57,1069,982,1,1165.0,Static,MRHOF,0
15,437,34,387,858,789,9,943.0,Mobile,OF0,0
7,468,19,243,302,292,4,328.0,Static,MRHOF,0
17,787,40,467,1082,1004,6,1130.0,Static,OF0,0
18,466,35,437,411,397,4,414.0,Mobile,MRHOF,0
19,73,47,74,1769,1615,9,1935.0,Mobile,MRHOF,0
20,612,8,127,406,379,3,558.0,Mobile,MRHOF,0
12,684,28,35,849,777,2,895.0,Mobile,MRHOF,0
1,796,5,318,857,802,0,983.0,Static,MRHOF,0
2,430,27,136,345,333,9,397.0,Static,OF0,0
3,610,6,418,1651,1639,8,1789.0,Mobile,MRHOF,0
4,409,45,429,146,146,4,187.0,Mobile,OF0,0
5,780,47,226,1910,1872,6,1948.0,Static,MRHOF,0
6,117,7,47,358,338,1,470.0,Static,OF0,0
7,573,39,237,1407,1333,6,1488.0,Mobile,OF0,0
8,237,45,246,354,352,1,442.0,Static,MRHOF,0
9,485,47,19,1731,1637,6,1920.0,Static,OF0,0
10,151,20,282,1152,1135,4,1340.0,Mobile,MRHOF,0
11,69,6,355,532,518,1,569.0,Static,OF0,0
12,765,41,103,1123,1064,0,1316.0,Mobile,OF0,0
13,180,30,274,109,101,2,235.0,Mobile,MRHOF,0
14,100,14,313,747,746,5,764.0,Static,MRHOF,0
15,468,2,311,1095,1014,8,1166.0,Static,OF0,0
4,70,29,36,1296,1235,4,1414.0,Static,MRHOF,0
17,124,34,44,1267,1259,6,1282.0,Mobile,OF0,0
6,688,47,166,1141,1122,6,1270.0,Static,OF0,0
19,764,29,180,1419,1295,0,1584.0,Mobile,OF0,0
8,110,7,123,1361,1332,3,1473.0,Mobile,MRHOF,0
21,462,28,206,1216,1211,2,1295.0,Static,OF0,0
1,786,26,437,779,773,7,885.0,Mobile,MRHOF,0
11,407,37,210,270,266,8,363.0,Static,MRHOF,0
3,665,43,314,1945,1867,5,2098.0,Static,MRHOF,0
1,733,9,41,1280,1202,0,1337.0,Mobile,MRHOF,0
2,668,11,101,572,519,1,636.0,Static,MRHOF,0
3,296,9,68,853,830,2,867.0,Mobile,OF0,0
4,79,49,334,759,703,0,814.0,Static,OF0,0
8,126,37,123,639,626,6,823.0,Static,MRHOF,0
6,475,1,493,548,507,3,,Static,MRHOF,0
10,525,11,455,774,734,9,789.0,Static,MRHOF,0
11,489,11,391,823,818,7,1012.0,Mobile,OF0,0
9,284,21,453,1099,1029,5,1276.0,Mobile,OF0,0
10,100,28,442,680,656,6,788.0,Mobile,MRHOF,0
